pseudocode,total_students,total_boys,total_girls,students_primary,students_upper_primary,students_secondary,school_level,total_tch,regular,contract,part_time,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,post_graduate_and_above,graduate,classrooms_total,classrooms_pucca,classrooms_good,toilets_boys_func,toilets_girls_func,has_girls_toilet,has_boys_toilet,has_ramp,has_library,has_playground,has_electricity,has_internet,has_handwash,has_boundary_wall,has_comp_lab,has_solar,has_hm_room,ptr,ptr_threshold,ptr_violation_severity,students_per_classroom,infrastructure_gap,eligible_grant_norm,funding_ratio,growth_rate,qualified_teacher_ratio,contract_ratio,validation_label,risk_score,risk_level
3566333,2234,1160,1074,1006,569,392,primary,87,76,9,2,79,28,18,3,13,12,66,21,56,1,56,3,3,1,1,1,1,1,1,1,1,1,1,0,1,25.68,30,-0.144,39.89,0,100000,1,0,1,0.1034,Accept,1.55,Low
3566413,494,494,0,494,0,0,primary,11,11,0,0,10,11,0,0,0,0,1,7,13,4,13,28,0,0,1,1,1,1,1,1,1,1,0,1,1,44.91,30,0.497,38,1,75000,1,0,0.7273,0,Flag,15.76,Low
3569188,675,675,0,0,375,177,upper_primary,36,26,5,5,36,0,14,0,13,9,25,11,18,3,18,11,0,0,1,1,1,1,1,1,1,1,0,0,1,18.75,35,-0.4643,37.5,1,75000,1,0,1,0.1389,Flag,5.42,Low
3573038,452,289,163,452,0,0,primary,9,9,0,0,5,9,0,0,0,0,5,4,10,0,10,4,4,1,1,1,1,1,1,1,1,1,0,0,1,50.22,30,0.674,45.2,0,75000,1,0,1,0,Reject,18.8,Low
3573942,135,88,47,129,6,0,primary,8,5,3,0,7,3,2,0,0,0,3,5,20,2,20,6,3,1,1,1,1,1,1,1,1,1,0,0,1,16.88,30,-0.4373,6.75,0,50000,1,0,1,0.375,Accept,5.62,Low
3575384,134,68,66,134,0,0,primary,7,6,1,0,7,5,0,0,0,0,2,4,6,1,6,1,1,1,1,1,0,1,1,1,1,1,0,0,1,19.14,30,-0.362,22.33,1,50000,1,0,0.8571,0.1429,Accept,5.48,Low
3577400,2100,963,1137,845,567,366,primary,66,34,32,0,61,29,10,0,11,13,50,16,54,1,54,17,17,1,1,1,1,1,1,1,1,1,1,0,1,31.82,30,0.0607,38.89,0,100000,1,0,1,0.4848,Flag,8.79,Low
3577747,745,449,296,405,202,110,primary,51,20,30,1,44,40,2,0,1,5,27,24,36,1,36,20,20,1,1,1,1,1,1,1,1,1,1,0,1,14.61,30,-0.513,20.69,0,75000,1,0,1,0.5882,Accept,8.82,Low
3579327,635,0,635,635,0,0,primary,18,17,1,0,5,17,0,0,0,0,3,12,26,1,26,0,13,1,0,1,1,1,1,1,1,1,0,1,1,35.28,30,0.176,24.42,1,75000,1,0,0.8333,0.0556,Flag,8.57,Low
3580178,3316,2001,1315,1664,870,420,primary,123,102,20,1,119,59,16,4,16,11,84,39,70,4,70,5,6,1,1,1,1,1,1,1,1,1,1,0,1,26.96,30,-0.1013,47.37,0,100000,1,0,1,0.1626,Flag,5.2,Low
3581149,661,409,252,436,225,0,primary,18,18,0,0,17,11,5,0,0,0,9,9,18,1,18,4,6,1,1,1,1,0,1,1,1,1,0,0,1,36.72,30,0.224,36.72,0,75000,1,0,1,0,Flag,5.6,Low
3582742,2107,1247,860,1139,614,274,primary,68,26,42,0,14,30,20,3,8,4,23,45,52,3,52,10,37,1,1,1,1,1,1,1,1,1,1,0,1,30.99,30,0.033,40.52,0,100000,1,0,1,0.6176,Flag,10.28,Low
3585518,313,189,124,211,102,0,primary,9,9,0,0,4,4,2,1,0,0,4,5,10,1,10,2,2,1,1,1,1,0,1,1,1,1,0,0,1,34.78,30,0.1593,31.3,0,75000,1,0,1,0,Flag,3.98,Low
3586645,688,688,0,688,0,0,primary,13,12,1,0,0,13,0,0,0,0,2,4,19,1,16,21,0,0,1,1,1,1,1,1,1,1,0,0,1,52.92,30,0.764,36.21,1,75000,1,0,0.4615,0.0769,Reject,23.59,Low
3586812,503,503,0,503,0,0,primary,11,9,2,0,1,11,0,0,0,0,3,5,18,1,18,7,0,0,1,1,1,1,1,1,1,1,0,0,1,45.73,30,0.5243,27.94,1,75000,1,0,0.7273,0.1818,Reject,19.17,Low
3587353,339,205,134,339,0,0,primary,10,10,0,0,8,9,0,0,0,0,3,6,11,1,11,4,4,1,1,1,1,1,1,1,1,1,0,1,1,33.9,30,0.13,30.82,0,75000,1,0,0.9,0,Flag,3.25,Low
3588984,473,293,180,232,78,135,primary,21,9,0,12,9,7,2,0,0,2,13,8,16,2,16,7,7,1,1,1,1,1,1,1,1,1,1,0,1,22.52,30,-0.2493,29.56,0,75000,1,0,1,0,Accept,0,Low
3589771,355,184,171,355,0,0,primary,8,6,2,0,2,7,0,0,0,0,1,5,8,1,8,3,3,1,1,1,1,1,1,1,1,1,0,1,1,44.38,30,0.4793,44.38,0,75000,1,0,0.75,0.25,Flag,17.38,Low
3594790,338,254,84,0,117,101,upper_primary,27,21,2,4,22,0,5,0,9,11,22,5,16,0,16,4,6,1,1,1,1,1,1,1,1,1,0,1,1,12.52,35,-0.6423,21.12,0,75000,1,0,1,0.0741,Accept,1.11,Low
3597011,270,270,0,270,0,0,primary,3,3,0,0,0,3,0,0,0,0,1,2,6,1,6,2,0,0,1,1,1,1,1,1,1,1,0,0,1,90,30,2,45,1,75000,1,0,1,0,Reject,30.21,Medium
3597249,315,315,0,315,0,0,primary,5,4,1,0,1,5,0,0,0,0,0,5,8,2,8,9,0,0,1,1,1,1,1,1,1,1,0,0,1,63,30,1.1,39.38,1,75000,1,0,1,0.2,Reject,31.33,Medium
3599513,2213,1250,963,0,1133,624,upper_primary,61,47,2,12,19,0,0,0,0,16,44,17,40,0,40,12,8,1,1,1,1,1,1,1,1,1,0,1,1,36.28,35,0.0366,55.32,0,100000,1,0,1,0.0328,Flag,7.15,Low
3601742,67,35,32,67,0,0,primary,4,4,0,0,0,4,0,0,0,0,1,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,16.75,30,-0.4417,16.75,0,25000,1,0,1,0,Accept,0,Low
3603460,4205,0,4205,0,1884,1091,upper_primary,123,101,4,18,91,0,22,0,49,51,100,23,82,1,82,0,44,1,0,1,1,1,1,1,1,1,1,1,1,34.19,35,-0.0231,51.28,1,100000,1,0,1,0.0325,Flag,8.05,Low
3608887,546,306,240,546,0,0,primary,10,10,0,0,10,5,0,0,0,0,0,1,19,1,19,4,4,1,1,1,1,1,1,1,1,1,0,0,1,54.6,30,0.82,28.74,0,75000,1,0,0.1,0,Reject,20.5,Low
3609063,1981,0,1981,424,509,455,upper_primary,63,37,2,24,62,9,19,0,14,19,46,16,45,1,45,0,39,1,0,1,1,1,1,1,1,1,0,0,1,31.44,35,-0.1017,44.02,1,100000,1,0,0.9841,0.0317,Accept,5.32,Low
3611590,252,132,120,95,99,58,upper_primary,18,9,3,6,7,5,6,1,5,0,11,7,11,1,11,4,5,1,1,1,1,1,1,1,1,1,0,1,1,14,35,-0.6,22.91,0,75000,1,0,1,0.1667,Accept,2.5,Low
3614545,1512,858,654,853,451,208,primary,50,38,12,0,39,24,11,3,12,0,22,27,32,1,32,8,8,1,1,1,1,1,1,1,1,1,0,1,1,30.24,30,0.008,47.25,0,100000,1,0,0.98,0.24,Flag,6.52,Low
3615056,177,100,77,177,0,0,primary,7,7,0,0,1,7,0,0,0,0,1,6,7,1,7,5,5,1,1,1,1,1,1,1,1,1,0,0,0,25.29,30,-0.157,25.29,0,50000,1,0,1,0,Accept,0,Low
3617261,2091,1132,959,868,538,376,primary,52,28,24,0,52,26,1,2,6,9,35,16,37,1,37,10,10,1,1,1,1,1,1,1,1,1,1,0,1,40.21,30,0.3403,56.51,0,100000,1,0,0.9808,0.4615,Flag,21.62,Low
3618797,547,276,271,547,0,0,primary,15,15,0,0,12,13,0,0,0,0,3,6,20,2,19,5,5,1,1,1,1,1,1,1,1,1,0,0,1,36.47,30,0.2157,27.35,0,75000,1,0,0.6,0,Flag,5.39,Low
3619107,1508,0,1508,1508,0,0,primary,37,26,11,0,31,34,0,0,0,0,11,19,29,1,29,0,12,1,0,1,1,1,1,1,1,1,0,1,1,40.76,30,0.3587,52,1,100000,1,0,0.8108,0.2973,Flag,21.26,Low
3620032,102,53,49,102,0,0,primary,7,7,0,0,6,6,0,0,0,0,1,6,7,2,7,9,9,1,1,1,1,1,1,1,1,1,0,1,1,14.57,30,-0.5143,14.57,0,50000,1,0,1,0,Accept,0,Low
3625438,226,119,107,180,46,0,primary,9,8,1,0,9,5,3,0,0,0,2,6,10,1,10,3,3,1,1,1,1,1,1,1,1,1,0,0,1,25.11,30,-0.163,22.6,0,50000,1,0,0.8889,0.1111,Accept,1.67,Low
3625561,117,75,42,117,0,0,primary,6,6,0,0,1,6,0,0,0,0,0,6,5,1,5,1,2,1,1,1,1,1,1,1,1,1,0,1,1,19.5,30,-0.35,23.4,0,50000,1,0,1,0,Accept,0,Low
3627097,752,457,295,356,262,117,primary,33,7,24,2,19,12,7,2,2,6,20,13,32,1,32,8,4,1,1,1,1,1,1,1,1,1,0,0,1,22.79,30,-0.2403,23.5,0,75000,1,0,1,0.7273,Flag,10.91,Low
3629515,318,176,142,318,0,0,primary,13,10,1,2,3,11,0,0,0,0,3,10,13,1,13,2,3,1,1,1,1,1,1,1,1,1,0,0,1,24.46,30,-0.1847,24.46,0,75000,1,0,1,0.0769,Accept,1.15,Low
3629920,5284,0,5284,0,2478,1416,upper_primary,146,110,0,36,115,0,52,0,43,40,105,41,87,0,87,0,24,1,0,1,1,1,1,1,1,1,1,1,1,36.19,35,0.034,60.74,1,100000,1,0,1,0,Flag,11.96,Low
3630024,431,248,183,0,0,312,secondary,20,18,0,2,10,0,0,0,14,6,17,3,14,1,14,3,3,1,1,1,1,1,1,1,1,1,1,0,1,21.55,35,-0.3843,30.79,0,75000,1,0,1,0,Accept,0,Low
3630400,2623,2623,0,419,1008,560,upper_primary,94,78,0,16,23,13,14,0,20,22,71,23,42,2,42,40,0,0,1,1,1,0,1,1,1,1,1,0,1,27.9,35,-0.2029,62.45,1,100000,1,0,1,0,Flag,11.75,Low
3630674,459,281,178,172,287,0,upper_primary,10,10,0,0,3,4,4,2,0,0,1,9,11,1,11,2,3,1,1,1,1,1,1,1,1,1,0,0,1,45.9,35,0.3114,41.73,0,75000,1,0,1,0,Flag,8.43,Low
3630886,274,143,131,0,274,0,upper_primary,11,11,0,0,3,0,11,0,0,0,6,5,6,0,6,1,1,1,1,1,1,1,1,1,1,1,0,0,1,24.91,35,-0.2883,45.67,0,75000,1,0,1,0,Flag,2.13,Low
3632051,481,273,208,481,0,0,primary,13,13,0,0,13,12,0,0,0,0,2,10,11,1,11,1,10,1,1,1,1,1,1,1,1,1,0,1,1,37,30,0.2333,43.73,0,75000,1,0,0.9231,0,Flag,7.23,Low
3632327,293,172,121,159,134,0,primary,13,13,0,0,13,5,8,0,0,0,7,6,13,2,13,7,7,1,1,1,1,1,1,1,1,1,0,0,1,22.54,30,-0.2487,22.54,0,75000,1,0,1,0,Accept,0,Low
3632978,564,308,256,564,0,0,primary,15,15,0,0,13,14,0,0,0,0,6,5,17,3,17,8,8,1,1,1,1,1,1,1,1,1,0,0,1,37.6,30,0.2533,33.18,0,75000,1,0,0.7333,0,Flag,6.33,Low
3633541,483,483,0,227,148,66,primary,18,14,0,4,3,5,0,0,0,4,15,3,12,2,12,4,0,0,1,1,1,1,1,1,1,1,0,0,1,26.83,30,-0.1057,40.25,1,75000,1,0,1,0,Flag,3.43,Low
3639816,3588,1926,1662,418,1139,967,upper_primary,111,90,2,19,21,11,25,0,39,31,73,37,69,2,69,15,18,1,1,1,1,1,1,1,1,1,1,1,1,32.32,35,-0.0766,52,0,100000,1,0,0.991,0.018,Flag,4.77,Low
3643749,111,71,40,111,0,0,primary,6,2,4,0,1,5,0,0,0,0,1,3,12,1,9,4,4,1,1,1,1,1,1,1,1,1,0,0,1,18.5,30,-0.3833,9.25,0,50000,1,0,0.6667,0.6667,Flag,10,Low
3644042,257,182,75,257,0,0,primary,7,7,0,0,0,6,0,0,0,0,3,4,7,1,7,3,3,1,1,1,1,1,1,1,1,1,0,1,1,36.71,30,0.2237,36.71,0,75000,1,0,1,0,Flag,5.59,Low
3644539,271,191,80,174,97,0,primary,6,6,0,0,1,2,4,0,0,0,4,2,15,2,15,6,8,1,1,1,1,1,1,1,1,1,0,0,1,45.17,30,0.5057,18.07,0,75000,1,0,1,0,Reject,12.64,Low
3645293,158,105,53,117,41,0,primary,8,8,0,0,0,4,3,1,0,0,4,1,10,1,10,4,4,1,1,1,1,1,1,1,1,1,0,1,1,19.75,30,-0.3417,15.8,0,50000,1,0,0.625,0,Accept,0,Low
3646159,2041,1108,933,0,1082,576,upper_primary,69,59,2,8,67,0,29,0,18,20,55,14,34,3,34,16,22,1,1,1,1,1,1,1,1,1,0,1,1,29.58,35,-0.1549,60.03,0,100000,1,0,1,0.029,Flag,7.95,Low
3649518,391,0,391,391,0,0,primary,11,10,1,0,7,9,0,0,0,0,3,5,12,1,12,0,8,1,0,1,1,1,1,1,1,1,0,0,0,35.55,30,0.185,32.58,1,75000,1,0,0.7273,0.0909,Flag,9.32,Low
3650787,1689,1070,619,712,437,276,primary,57,42,15,0,48,20,10,0,7,12,37,20,38,2,38,21,29,1,1,1,1,1,1,1,1,1,1,1,1,29.63,30,-0.0123,44.45,0,100000,1,0,1,0.2632,Accept,5.62,Low
3652575,386,198,188,386,0,0,primary,12,12,0,0,1,12,0,0,0,0,3,9,15,1,7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,32.17,30,0.0723,25.73,0,75000,1,0,1,0,Flag,1.81,Low
3654014,497,288,209,351,146,0,primary,11,11,0,0,5,6,5,0,0,0,3,8,10,1,10,4,4,1,1,1,1,1,1,1,1,1,0,0,1,45.18,30,0.506,49.7,0,75000,1,0,1,0,Reject,16.29,Low
3654729,1398,1398,0,0,627,408,upper_primary,39,30,1,8,39,0,7,0,11,14,30,9,24,1,0,14,0,0,1,1,1,1,1,1,1,1,0,1,1,35.85,35,0.0243,58.25,1,100000,1,0,1,0.0256,Flag,11.17,Low
3657877,850,498,352,850,0,0,primary,22,22,0,0,21,21,0,0,0,0,6,9,24,3,24,10,10,1,1,1,1,1,1,1,1,1,0,1,1,38.64,30,0.288,35.42,0,75000,1,0,0.6818,0,Flag,7.2,Low
3657994,939,939,0,939,0,0,primary,13,11,2,0,2,13,0,0,0,0,2,9,20,0,20,5,0,0,1,1,1,1,1,1,1,1,0,0,1,72.23,30,1.4077,46.95,1,75000,1,0,0.8462,0.1538,Reject,33.25,Medium
3660552,1236,0,1236,1236,0,0,primary,16,10,6,0,15,16,0,0,0,0,3,8,18,1,18,0,40,1,0,1,1,1,1,1,1,1,0,0,1,77.25,30,1.575,68.67,1,100000,1,0,0.6875,0.375,Reject,44.71,Medium
3660600,122,66,56,96,26,0,primary,8,8,0,0,7,5,3,0,0,0,1,6,9,0,9,2,1,1,1,1,1,1,1,1,1,1,0,0,1,15.25,30,-0.4917,13.56,0,50000,1,0,0.875,0,Accept,0,Low
3662294,610,356,254,359,251,0,primary,10,2,8,0,3,7,3,0,0,0,5,3,16,1,16,7,6,1,1,1,1,1,1,1,1,1,0,0,1,61,30,1.0333,38.12,0,75000,1,0,0.8,0.8,Reject,37,Medium
3663258,480,383,97,480,0,0,primary,8,5,3,0,2,7,0,0,0,0,3,4,8,1,8,6,6,1,1,1,1,1,1,1,1,1,0,0,1,60,30,1,60,0,75000,1,0,0.875,0.375,Reject,38.12,Medium
3664518,132,132,0,132,0,0,primary,3,2,1,0,3,3,0,0,0,0,1,2,5,0,5,4,0,0,1,1,1,0,1,1,1,1,0,0,1,44,30,0.4667,26.4,1,50000,1,0,1,0.3333,Flag,20,Low
3666518,2988,0,2988,0,2075,913,upper_primary,56,52,0,4,14,0,9,0,0,0,40,16,35,0,35,0,30,1,0,1,1,1,1,1,1,1,0,1,1,53.36,35,0.5246,85.37,1,100000,1,0,1,0,Reject,31.45,Medium
3666688,1278,744,534,467,328,205,primary,39,38,0,1,12,10,5,0,9,14,34,5,26,2,26,8,8,1,1,1,1,1,1,1,1,1,1,1,1,32.77,30,0.0923,49.15,0,100000,1,0,1,0,Flag,5.74,Low
3667069,746,468,278,484,262,0,primary,20,16,4,0,19,10,10,0,0,0,7,13,20,1,20,4,8,1,1,1,1,1,1,1,1,1,0,0,1,37.3,30,0.2433,37.3,0,75000,1,0,1,0.2,Flag,9.08,Low
3670427,1027,0,1027,1027,0,0,primary,29,28,1,0,3,27,0,0,0,0,8,16,19,1,19,0,11,1,0,1,1,1,1,1,1,1,0,1,1,35.41,30,0.1803,54.05,1,100000,1,0,0.8276,0.0345,Flag,13.63,Low
3676252,2938,1822,1116,835,1000,663,upper_primary,116,116,0,0,40,24,43,0,26,22,43,73,95,1,95,18,18,1,1,1,1,1,1,1,1,1,1,0,1,25.33,35,-0.2763,30.93,0,100000,1,0,1,0,Accept,0,Low
3678661,2347,2347,0,0,1123,682,upper_primary,81,72,2,7,81,0,32,0,22,24,65,16,39,1,39,17,0,0,1,1,1,1,1,1,1,1,0,0,1,28.98,35,-0.172,60.18,1,100000,1,0,1,0.0247,Flag,11.27,Low
3679389,921,554,367,346,188,72,primary,29,28,1,0,24,10,6,2,4,0,12,12,23,2,23,10,10,1,1,1,1,1,1,1,1,1,1,0,1,31.76,30,0.0587,40.04,0,75000,1,0,0.8276,0.0345,Flag,2,Low
3682156,618,0,618,618,0,0,primary,15,14,1,0,0,14,0,0,0,0,6,8,13,1,13,0,12,1,0,1,1,1,1,1,1,1,0,0,1,41.2,30,0.3733,47.54,1,75000,1,0,0.9333,0.0667,Flag,16.49,Low
3682682,152,84,68,97,30,25,primary,13,0,13,0,6,6,2,0,4,0,6,7,12,2,12,6,4,1,1,1,1,1,1,1,1,1,0,0,1,11.69,30,-0.6103,12.67,0,50000,1,0,1,1,Flag,15,Low
3687004,268,128,140,268,0,0,primary,12,12,0,0,10,11,0,0,0,0,6,5,11,1,11,4,6,1,1,1,1,1,1,1,1,1,0,1,1,22.33,30,-0.2557,24.36,0,75000,1,0,0.9167,0,Accept,0,Low
3687350,810,485,325,450,257,103,primary,31,15,16,0,30,12,0,3,3,0,27,4,27,3,27,15,15,1,1,1,1,1,1,1,1,1,0,1,1,26.13,30,-0.129,30,0,75000,1,0,1,0.5161,Accept,7.74,Low
3690792,384,221,163,384,0,0,primary,12,12,0,0,8,10,0,0,0,0,2,8,16,2,16,6,6,1,1,1,1,1,1,1,1,0,0,0,1,32,30,0.0667,24,1,75000,1,0,0.8333,0,Flag,5,Low
3692764,250,145,105,204,46,0,primary,9,8,1,0,9,3,5,0,0,0,6,3,13,3,13,8,7,1,1,1,1,1,1,1,1,1,0,1,1,27.78,30,-0.074,19.23,0,50000,1,0,1,0.1111,Accept,1.67,Low
3694961,410,236,174,265,145,0,primary,17,14,3,0,17,10,4,3,0,0,6,10,16,1,16,4,12,1,1,1,1,1,1,1,1,1,0,0,1,24.12,30,-0.196,25.62,0,75000,1,0,0.9412,0.1765,Accept,2.65,Low
3700655,387,276,111,143,90,70,primary,26,26,0,0,3,7,4,0,3,7,13,12,23,5,23,4,2,1,1,1,1,1,1,1,1,1,0,0,1,14.88,30,-0.504,16.83,0,75000,1,0,0.9615,0,Accept,0,Low
3701615,2507,1408,1099,1078,668,413,primary,91,88,3,0,89,30,18,0,17,17,54,37,56,3,56,34,30,1,1,1,1,1,1,1,1,1,1,1,1,27.55,30,-0.0817,44.77,0,100000,1,0,1,0.033,Accept,2.28,Low
3702685,34,24,10,34,0,0,primary,5,5,0,0,5,3,0,0,0,0,1,4,6,1,6,1,1,1,1,1,1,1,1,1,1,1,0,0,1,6.8,30,-0.7733,5.67,0,25000,1,0,1,0,Accept,0,Low
3704377,1444,7,1437,199,593,358,upper_primary,60,35,3,22,22,11,19,0,8,15,41,18,33,0,33,0,21,1,0,1,1,1,1,1,1,1,1,0,1,24.07,35,-0.3123,43.76,1,100000,1,0,0.9833,0.05,Accept,5.49,Low
3704475,288,0,288,288,0,0,primary,9,6,3,0,9,9,0,0,0,0,3,5,10,3,3,0,8,1,0,1,1,1,1,1,1,1,0,1,1,32,30,0.0667,28.8,1,75000,1,0,0.8889,0.3333,Flag,10,Low
3707372,195,122,73,195,0,0,primary,6,4,0,2,6,6,0,0,0,0,3,3,10,0,10,3,3,1,1,1,1,1,1,1,1,1,0,0,1,32.5,30,0.0833,19.5,0,50000,1,0,1,0,Flag,2.08,Low
3707556,2289,2289,0,442,747,588,upper_primary,79,63,2,14,19,11,11,0,19,24,59,15,46,0,46,46,0,0,1,1,1,1,1,1,1,1,0,0,1,28.97,35,-0.1723,49.76,1,100000,1,0,0.9367,0.0253,Flag,7.37,Low
3710815,836,567,269,392,196,110,primary,31,31,0,0,10,5,5,0,6,11,22,9,28,2,28,5,8,1,1,1,1,1,1,1,1,1,1,0,1,26.97,30,-0.101,29.86,0,75000,1,0,1,0,Accept,0,Low
3711269,126,68,58,126,0,0,primary,5,5,0,0,5,3,0,0,0,0,0,3,6,2,6,2,3,1,1,1,1,1,1,1,1,1,0,0,1,25.2,30,-0.16,21,0,50000,1,0,0.6,0,Accept,0,Low
3712575,28,22,6,28,0,0,primary,4,1,3,0,1,3,0,0,0,0,1,3,7,2,7,1,1,1,1,1,1,1,1,1,1,1,0,0,1,7,30,-0.7667,4,0,10000,1,0,1,0.75,Flag,11.25,Low
3716368,635,380,255,311,196,75,primary,32,11,21,0,22,12,6,1,7,2,23,8,24,2,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,19.84,30,-0.3387,26.46,0,75000,1,0,0.9688,0.6562,Flag,9.84,Low
3716509,117,80,37,117,0,0,primary,6,2,4,0,5,5,0,0,0,0,3,3,12,1,12,4,4,1,1,1,1,0,1,1,1,1,0,0,1,19.5,30,-0.35,9.75,0,50000,1,0,1,0.6667,Flag,10,Low
3717391,324,190,134,324,0,0,primary,10,10,0,0,7,10,0,0,0,0,3,6,24,1,24,5,5,1,1,1,1,1,1,1,1,1,0,0,1,32.4,30,0.08,13.5,0,75000,1,0,0.9,0,Flag,2,Low
3719042,3681,210,3471,422,1527,885,upper_primary,103,69,4,30,22,12,27,1,27,33,65,38,55,2,55,4,34,1,1,1,1,1,1,1,1,1,0,1,1,35.74,35,0.0211,66.93,0,100000,1,0,1,0.0388,Flag,11.21,Low
3725022,129,77,52,129,0,0,primary,4,4,0,0,2,4,0,0,0,0,0,4,8,1,8,2,2,1,1,1,1,0,1,1,1,1,0,0,1,32.25,30,0.075,16.12,0,50000,1,0,1,0,Flag,1.88,Low
3727987,646,412,234,266,196,103,primary,32,19,6,7,10,5,1,8,0,4,22,10,21,3,21,7,14,1,1,1,1,1,1,1,1,1,1,1,1,20.19,30,-0.327,30.76,0,75000,1,0,1,0.1875,Accept,2.81,Low
3730639,1573,1573,0,1573,0,0,primary,23,14,9,0,2,23,0,0,0,0,11,11,18,1,0,14,0,0,1,1,1,0,1,1,1,1,0,0,1,68.39,30,1.2797,87.39,1,100000,1,0,0.9565,0.3913,Reject,49.2,Medium
3731558,1329,790,539,502,327,264,primary,62,54,7,1,40,17,16,3,10,12,41,21,40,1,40,23,19,1,1,1,1,1,1,1,1,1,1,0,1,21.44,30,-0.2853,33.22,0,100000,1,0,1,0.1129,Accept,1.69,Low
3736537,444,247,197,323,121,0,primary,15,14,1,0,15,6,5,0,0,0,8,6,20,1,20,3,3,1,1,1,1,1,1,1,1,1,0,0,1,29.6,30,-0.0133,22.2,0,75000,1,0,0.9333,0.0667,Accept,1,Low
3737052,80,39,41,80,0,0,primary,5,4,1,0,4,5,0,0,0,0,1,4,6,1,6,2,2,1,1,1,1,1,1,1,1,1,0,1,1,16,30,-0.4667,13.33,0,25000,1,0,1,0.2,Accept,3,Low
3738203,612,128,484,237,169,110,primary,23,18,0,5,15,4,5,0,8,5,18,5,19,2,19,5,5,1,1,1,1,1,1,1,1,1,1,1,1,26.61,30,-0.113,32.21,0,75000,1,0,1,0,Accept,0,Low
3739864,70,42,28,70,0,0,primary,5,2,3,0,2,5,0,0,0,0,0,3,5,1,5,2,2,1,1,1,1,1,1,1,1,1,0,0,1,14,30,-0.5333,14,0,25000,1,0,0.6,0.6,Accept,9,Low
3740948,3046,1670,1376,1376,763,491,primary,89,89,0,0,72,27,14,0,17,20,71,18,74,2,74,18,28,1,1,1,1,1,1,1,1,1,1,0,1,34.22,30,0.1407,41.16,0,100000,1,0,1,0,Flag,3.95,Low
3741034,915,915,0,915,0,0,primary,13,10,3,0,4,13,0,0,0,0,2,6,6,1,6,5,0,0,1,1,1,1,1,1,1,1,0,0,1,70.38,30,1.346,152.5,1,75000,1,0,0.6154,0.2308,Reject,46.8,Medium
3743067,463,463,0,463,0,0,primary,8,8,0,0,5,8,0,0,0,0,2,6,10,1,10,8,0,0,1,1,1,1,1,1,1,1,0,1,1,57.88,30,0.9293,46.3,1,75000,1,0,1,0,Reject,28.93,Low
3752496,230,113,117,168,62,0,primary,11,9,2,0,0,5,6,0,0,0,3,6,8,1,8,3,3,1,1,1,1,1,1,1,1,1,0,0,1,20.91,30,-0.303,28.75,0,50000,1,0,0.8182,0.1818,Accept,2.73,Low
3752708,286,158,128,286,0,0,primary,8,1,7,0,7,8,0,0,0,0,4,3,10,1,10,4,4,1,1,1,1,0,1,1,1,1,0,0,1,35.75,30,0.1917,28.6,0,75000,1,0,0.875,0.875,Flag,17.92,Low
3753427,238,238,0,156,82,0,primary,13,4,9,0,12,7,5,1,0,0,9,4,8,1,8,3,0,0,1,1,1,1,1,1,1,1,0,0,1,18.31,30,-0.3897,29.75,1,50000,1,0,1,0.6923,Flag,13.72,Low
3755461,265,173,92,265,0,0,primary,5,2,3,0,5,5,0,0,0,0,2,3,5,1,5,2,2,1,1,1,1,1,1,1,1,1,0,0,1,53,30,0.7667,53,0,75000,1,0,1,0.6,Reject,33.04,Medium
3761703,148,93,55,148,0,0,primary,10,1,9,0,1,8,0,0,0,0,3,7,13,1,13,4,3,1,1,1,1,1,1,1,1,1,0,0,1,14.8,30,-0.5067,11.38,0,50000,1,0,1,0.9,Flag,13.5,Low
3765632,243,137,106,243,0,0,primary,9,9,0,0,7,9,0,0,0,0,5,4,9,1,9,2,2,1,1,1,1,1,1,1,1,1,0,1,1,27,30,-0.1,27,0,50000,1,0,1,0,Accept,0,Low
3765799,640,376,264,0,472,168,upper_primary,23,21,0,2,12,0,2,0,2,0,22,1,23,0,23,5,5,1,1,1,1,1,1,1,1,1,0,0,1,27.83,35,-0.2049,27.83,0,75000,1,0,1,0,Accept,0,Low
3768252,391,221,170,391,0,0,primary,7,6,1,0,3,5,0,0,0,0,0,5,4,1,4,1,1,1,1,1,1,0,1,1,1,1,0,0,1,55.86,30,0.862,97.75,0,75000,1,0,0.7143,0.1429,Reject,38.69,Medium
3769457,209,116,93,209,0,0,primary,7,5,2,0,7,7,0,0,0,0,1,6,7,1,7,2,2,1,1,1,1,1,1,1,1,1,0,1,1,29.86,30,-0.0047,29.86,0,50000,1,0,1,0.2857,Accept,4.29,Low
3769652,187,108,79,187,0,0,primary,6,5,1,0,1,6,0,0,0,0,5,1,5,1,5,4,4,1,1,1,1,1,1,1,1,1,0,1,1,31.17,30,0.039,37.4,0,50000,1,0,1,0.1667,Flag,3.48,Low
3770002,1508,0,1508,1508,0,0,primary,28,25,3,0,0,27,0,0,0,0,6,19,21,1,5,0,10,1,0,1,1,1,1,1,1,1,0,1,1,53.86,30,0.7953,71.81,1,100000,1,0,0.8929,0.1071,Reject,36.75,Medium
